Time,Threshold,Probability
2025-12-17 06:00:00,70,80.0
2025-12-17 06:00:00,80,56.67
2025-12-17 06:00:00,90,40.0
2025-12-17 06:00:00,95,30.0
2025-12-17 12:00:00,70,70.0
2025-12-17 12:00:00,80,60.0
2025-12-17 12:00:00,90,43.33
2025-12-17 12:00:00,95,26.67
2025-12-17 18:00:00,70,33.33
2025-12-17 18:00:00,80,23.33
2025-12-17 18:00:00,90,10.0
2025-12-17 18:00:00,95,10.0
2025-12-18 00:00:00,70,70.0
2025-12-18 00:00:00,80,50.0
2025-12-18 00:00:00,90,23.33
2025-12-18 00:00:00,95,16.67
2025-12-18 06:00:00,70,73.33
2025-12-18 06:00:00,80,50.0
2025-12-18 06:00:00,90,33.33
2025-12-18 06:00:00,95,30.0
2025-12-18 12:00:00,70,66.67
2025-12-18 12:00:00,80,46.67
2025-12-18 12:00:00,90,26.67
2025-12-18 12:00:00,95,23.33
2025-12-18 18:00:00,70,16.67
2025-12-18 18:00:00,80,6.67
2025-12-18 18:00:00,90,3.33
2025-12-18 18:00:00,95,3.33
2025-12-19 00:00:00,70,36.67
2025-12-19 00:00:00,80,16.67
2025-12-19 00:00:00,90,10.0
2025-12-19 00:00:00,95,6.67
2025-12-19 06:00:00,70,46.67
2025-12-19 06:00:00,80,33.33
2025-12-19 06:00:00,90,13.33
2025-12-19 06:00:00,95,10.0
2025-12-19 12:00:00,70,66.67
2025-12-19 12:00:00,80,46.67
2025-12-19 12:00:00,90,13.33
2025-12-19 12:00:00,95,6.67
2025-12-19 18:00:00,70,23.33
2025-12-19 18:00:00,80,3.33
2025-12-19 18:00:00,90,3.33
2025-12-19 18:00:00,95,0.0
2025-12-20 00:00:00,70,36.67
2025-12-20 00:00:00,80,20.0
2025-12-20 00:00:00,90,3.33
2025-12-20 00:00:00,95,3.33
2025-12-20 06:00:00,70,53.33
2025-12-20 06:00:00,80,33.33
2025-12-20 06:00:00,90,13.33
2025-12-20 06:00:00,95,3.33
2025-12-20 12:00:00,70,66.67
2025-12-20 12:00:00,80,46.67
2025-12-20 12:00:00,90,16.67
2025-12-20 12:00:00,95,13.33
2025-12-20 18:00:00,70,23.33
2025-12-20 18:00:00,80,13.33
2025-12-20 18:00:00,90,3.33
2025-12-20 18:00:00,95,0.0
2025-12-21 00:00:00,70,43.33
2025-12-21 00:00:00,80,26.67
2025-12-21 00:00:00,90,0.0
2025-12-21 00:00:00,95,0.0
2025-12-21 06:00:00,70,53.33
2025-12-21 06:00:00,80,40.0
2025-12-21 06:00:00,90,13.33
2025-12-21 06:00:00,95,6.67
2025-12-21 12:00:00,70,63.33
2025-12-21 12:00:00,80,43.33
2025-12-21 12:00:00,90,20.0
2025-12-21 12:00:00,95,10.0
2025-12-21 18:00:00,70,10.0
2025-12-21 18:00:00,80,0.0
2025-12-21 18:00:00,90,0.0
2025-12-21 18:00:00,95,0.0
