Time,Threshold,Probability
2025-05-15 12:00:00,0,100.0
2025-05-15 12:00:00,15,100.0
2025-05-15 12:00:00,32,100.0
2025-05-15 12:00:00,36,100.0
2025-05-15 18:00:00,0,100.0
2025-05-15 18:00:00,15,100.0
2025-05-15 18:00:00,32,100.0
2025-05-15 18:00:00,36,100.0
2025-05-16 00:00:00,0,100.0
2025-05-16 00:00:00,15,100.0
2025-05-16 00:00:00,32,100.0
2025-05-16 00:00:00,36,100.0
2025-05-16 06:00:00,0,100.0
2025-05-16 06:00:00,15,100.0
2025-05-16 06:00:00,32,100.0
2025-05-16 06:00:00,36,100.0
2025-05-16 12:00:00,0,100.0
2025-05-16 12:00:00,15,100.0
2025-05-16 12:00:00,32,100.0
2025-05-16 12:00:00,36,100.0
2025-05-16 18:00:00,0,100.0
2025-05-16 18:00:00,15,100.0
2025-05-16 18:00:00,32,100.0
2025-05-16 18:00:00,36,100.0
2025-05-17 00:00:00,0,100.0
2025-05-17 00:00:00,15,100.0
2025-05-17 00:00:00,32,100.0
2025-05-17 00:00:00,36,100.0
2025-05-17 06:00:00,0,100.0
2025-05-17 06:00:00,15,100.0
2025-05-17 06:00:00,32,100.0
2025-05-17 06:00:00,36,100.0
2025-05-17 12:00:00,0,100.0
2025-05-17 12:00:00,15,100.0
2025-05-17 12:00:00,32,100.0
2025-05-17 12:00:00,36,100.0
2025-05-17 18:00:00,0,100.0
2025-05-17 18:00:00,15,100.0
2025-05-17 18:00:00,32,100.0
2025-05-17 18:00:00,36,100.0
2025-05-18 00:00:00,0,100.0
2025-05-18 00:00:00,15,100.0
2025-05-18 00:00:00,32,100.0
2025-05-18 00:00:00,36,100.0
2025-05-18 06:00:00,0,100.0
2025-05-18 06:00:00,15,100.0
2025-05-18 06:00:00,32,100.0
2025-05-18 06:00:00,36,100.0
2025-05-18 12:00:00,0,100.0
2025-05-18 12:00:00,15,100.0
2025-05-18 12:00:00,32,100.0
2025-05-18 12:00:00,36,100.0
