Time,Threshold,Probability
2026-04-02 06:00:00,0,0.0
2026-04-02 06:00:00,15,0.0
2026-04-02 06:00:00,32,3.33
2026-04-02 06:00:00,36,6.67
2026-04-02 12:00:00,0,0.0
2026-04-02 12:00:00,15,0.0
2026-04-02 12:00:00,32,3.33
2026-04-02 12:00:00,36,10.0
2026-04-02 18:00:00,0,0.0
2026-04-02 18:00:00,15,0.0
2026-04-02 18:00:00,32,3.33
2026-04-02 18:00:00,36,10.0
2026-04-03 00:00:00,0,0.0
2026-04-03 00:00:00,15,0.0
2026-04-03 00:00:00,32,0.0
2026-04-03 00:00:00,36,0.0
2026-04-03 06:00:00,0,0.0
2026-04-03 06:00:00,15,0.0
2026-04-03 06:00:00,32,0.0
2026-04-03 06:00:00,36,0.0
2026-04-03 12:00:00,0,0.0
2026-04-03 12:00:00,15,0.0
2026-04-03 12:00:00,32,6.67
2026-04-03 12:00:00,36,10.0
2026-04-03 18:00:00,0,0.0
2026-04-03 18:00:00,15,0.0
2026-04-03 18:00:00,32,6.67
2026-04-03 18:00:00,36,10.0
2026-04-04 00:00:00,0,0.0
2026-04-04 00:00:00,15,0.0
2026-04-04 00:00:00,32,0.0
2026-04-04 00:00:00,36,0.0
2026-04-04 06:00:00,0,0.0
2026-04-04 06:00:00,15,0.0
2026-04-04 06:00:00,32,0.0
2026-04-04 06:00:00,36,6.67
2026-04-04 12:00:00,0,0.0
2026-04-04 12:00:00,15,0.0
2026-04-04 12:00:00,32,6.67
2026-04-04 12:00:00,36,10.0
2026-04-04 18:00:00,0,0.0
2026-04-04 18:00:00,15,0.0
2026-04-04 18:00:00,32,6.67
2026-04-04 18:00:00,36,10.0
2026-04-05 00:00:00,0,0.0
2026-04-05 00:00:00,15,0.0
2026-04-05 00:00:00,32,3.33
2026-04-05 00:00:00,36,3.33
2026-04-05 06:00:00,0,0.0
2026-04-05 06:00:00,15,0.0
2026-04-05 06:00:00,32,3.33
2026-04-05 06:00:00,36,3.33
2026-04-05 12:00:00,0,0.0
2026-04-05 12:00:00,15,0.0
2026-04-05 12:00:00,32,0.0
2026-04-05 12:00:00,36,6.67
2026-04-05 18:00:00,0,0.0
2026-04-05 18:00:00,15,0.0
2026-04-05 18:00:00,32,3.33
2026-04-05 18:00:00,36,6.67
2026-04-06 00:00:00,0,0.0
2026-04-06 00:00:00,15,0.0
2026-04-06 00:00:00,32,3.33
2026-04-06 00:00:00,36,3.33
2026-04-06 06:00:00,0,0.0
2026-04-06 06:00:00,15,0.0
2026-04-06 06:00:00,32,3.33
2026-04-06 06:00:00,36,3.33
2026-04-06 12:00:00,0,0.0
2026-04-06 12:00:00,15,0.0
2026-04-06 12:00:00,32,3.33
2026-04-06 12:00:00,36,3.33
2026-04-06 18:00:00,0,0.0
2026-04-06 18:00:00,15,0.0
2026-04-06 18:00:00,32,3.33
2026-04-06 18:00:00,36,3.33
2026-04-07 00:00:00,0,0.0
2026-04-07 00:00:00,15,0.0
2026-04-07 00:00:00,32,3.33
2026-04-07 00:00:00,36,3.33
2026-04-07 06:00:00,0,0.0
2026-04-07 06:00:00,15,0.0
2026-04-07 06:00:00,32,3.33
2026-04-07 06:00:00,36,3.33
2026-04-07 12:00:00,0,0.0
2026-04-07 12:00:00,15,0.0
2026-04-07 12:00:00,32,6.67
2026-04-07 12:00:00,36,16.67
2026-04-07 18:00:00,0,0.0
2026-04-07 18:00:00,15,0.0
2026-04-07 18:00:00,32,6.67
2026-04-07 18:00:00,36,16.67
2026-04-08 00:00:00,0,0.0
2026-04-08 00:00:00,15,0.0
2026-04-08 00:00:00,32,0.0
2026-04-08 00:00:00,36,0.0
2026-04-08 06:00:00,0,0.0
2026-04-08 06:00:00,15,0.0
2026-04-08 06:00:00,32,6.67
2026-04-08 06:00:00,36,10.0
2026-04-08 12:00:00,0,0.0
2026-04-08 12:00:00,15,0.0
2026-04-08 12:00:00,32,10.0
2026-04-08 12:00:00,36,20.0
2026-04-08 18:00:00,0,0.0
2026-04-08 18:00:00,15,0.0
2026-04-08 18:00:00,32,10.0
2026-04-08 18:00:00,36,20.0
2026-04-09 00:00:00,0,0.0
2026-04-09 00:00:00,15,0.0
2026-04-09 00:00:00,32,3.33
2026-04-09 00:00:00,36,3.33
2026-04-09 06:00:00,0,0.0
2026-04-09 06:00:00,15,0.0
2026-04-09 06:00:00,32,6.67
2026-04-09 06:00:00,36,10.0
2026-04-09 12:00:00,0,0.0
2026-04-09 12:00:00,15,0.0
2026-04-09 12:00:00,32,10.0
2026-04-09 12:00:00,36,13.33
2026-04-09 18:00:00,0,0.0
2026-04-09 18:00:00,15,0.0
2026-04-09 18:00:00,32,10.0
2026-04-09 18:00:00,36,16.67
2026-04-10 00:00:00,0,0.0
2026-04-10 00:00:00,15,0.0
2026-04-10 00:00:00,32,0.0
2026-04-10 00:00:00,36,0.0
2026-04-10 06:00:00,0,0.0
2026-04-10 06:00:00,15,0.0
2026-04-10 06:00:00,32,3.33
2026-04-10 06:00:00,36,10.0
2026-04-10 12:00:00,0,0.0
2026-04-10 12:00:00,15,0.0
2026-04-10 12:00:00,32,10.0
2026-04-10 12:00:00,36,23.33
2026-04-10 18:00:00,0,0.0
2026-04-10 18:00:00,15,0.0
2026-04-10 18:00:00,32,10.0
2026-04-10 18:00:00,36,26.67
2026-04-11 00:00:00,0,0.0
2026-04-11 00:00:00,15,0.0
2026-04-11 00:00:00,32,3.33
2026-04-11 00:00:00,36,10.0
2026-04-11 06:00:00,0,0.0
2026-04-11 06:00:00,15,0.0
2026-04-11 06:00:00,32,10.0
2026-04-11 06:00:00,36,16.67
2026-04-11 12:00:00,0,0.0
2026-04-11 12:00:00,15,0.0
2026-04-11 12:00:00,32,16.67
2026-04-11 12:00:00,36,33.33
2026-04-11 18:00:00,0,0.0
2026-04-11 18:00:00,15,0.0
2026-04-11 18:00:00,32,16.67
2026-04-11 18:00:00,36,30.0
2026-04-12 00:00:00,0,0.0
2026-04-12 00:00:00,15,0.0
2026-04-12 00:00:00,32,3.33
2026-04-12 00:00:00,36,6.67
2026-04-12 06:00:00,0,0.0
2026-04-12 06:00:00,15,0.0
2026-04-12 06:00:00,32,10.0
2026-04-12 06:00:00,36,23.33
2026-04-12 12:00:00,0,0.0
2026-04-12 12:00:00,15,0.0
2026-04-12 12:00:00,32,20.0
2026-04-12 12:00:00,36,30.0
2026-04-12 18:00:00,0,0.0
2026-04-12 18:00:00,15,0.0
2026-04-12 18:00:00,32,16.67
2026-04-12 18:00:00,36,36.67
2026-04-13 00:00:00,0,0.0
2026-04-13 00:00:00,15,0.0
2026-04-13 00:00:00,32,3.33
2026-04-13 00:00:00,36,10.0
2026-04-13 06:00:00,0,0.0
2026-04-13 06:00:00,15,0.0
2026-04-13 06:00:00,32,16.67
2026-04-13 06:00:00,36,26.67
2026-04-13 12:00:00,0,0.0
2026-04-13 12:00:00,15,0.0
2026-04-13 12:00:00,32,26.67
2026-04-13 12:00:00,36,36.67
2026-04-13 18:00:00,0,0.0
2026-04-13 18:00:00,15,0.0
2026-04-13 18:00:00,32,30.0
2026-04-13 18:00:00,36,36.67
2026-04-14 00:00:00,0,0.0
2026-04-14 00:00:00,15,0.0
2026-04-14 00:00:00,32,6.67
2026-04-14 00:00:00,36,13.33
2026-04-14 06:00:00,0,0.0
2026-04-14 06:00:00,15,0.0
2026-04-14 06:00:00,32,13.33
2026-04-14 06:00:00,36,20.0
2026-04-14 12:00:00,0,0.0
2026-04-14 12:00:00,15,0.0
2026-04-14 12:00:00,32,13.33
2026-04-14 12:00:00,36,30.0
2026-04-14 18:00:00,0,0.0
2026-04-14 18:00:00,15,0.0
2026-04-14 18:00:00,32,13.33
2026-04-14 18:00:00,36,30.0
2026-04-15 00:00:00,0,0.0
2026-04-15 00:00:00,15,0.0
2026-04-15 00:00:00,32,3.33
2026-04-15 00:00:00,36,6.67
2026-04-15 06:00:00,0,0.0
2026-04-15 06:00:00,15,0.0
2026-04-15 06:00:00,32,6.67
2026-04-15 06:00:00,36,10.0
2026-04-15 12:00:00,0,0.0
2026-04-15 12:00:00,15,0.0
2026-04-15 12:00:00,32,10.0
2026-04-15 12:00:00,36,26.67
2026-04-15 18:00:00,0,0.0
2026-04-15 18:00:00,15,0.0
2026-04-15 18:00:00,32,6.67
2026-04-15 18:00:00,36,23.33
2026-04-16 00:00:00,0,0.0
2026-04-16 00:00:00,15,0.0
2026-04-16 00:00:00,32,0.0
2026-04-16 00:00:00,36,3.33
2026-04-16 06:00:00,0,0.0
2026-04-16 06:00:00,15,0.0
2026-04-16 06:00:00,32,6.67
2026-04-16 06:00:00,36,23.33
2026-04-16 12:00:00,0,0.0
2026-04-16 12:00:00,15,0.0
2026-04-16 12:00:00,32,26.67
2026-04-16 12:00:00,36,33.33
2026-04-16 18:00:00,0,0.0
2026-04-16 18:00:00,15,0.0
2026-04-16 18:00:00,32,26.67
2026-04-16 18:00:00,36,33.33
2026-04-17 00:00:00,0,0.0
2026-04-17 00:00:00,15,0.0
2026-04-17 00:00:00,32,3.33
2026-04-17 00:00:00,36,3.33
2026-04-17 06:00:00,0,0.0
2026-04-17 06:00:00,15,0.0
2026-04-17 06:00:00,32,6.67
2026-04-17 06:00:00,36,16.67
2026-04-17 12:00:00,0,0.0
2026-04-17 12:00:00,15,0.0
2026-04-17 12:00:00,32,10.0
2026-04-17 12:00:00,36,26.67
2026-04-17 18:00:00,0,0.0
2026-04-17 18:00:00,15,0.0
2026-04-17 18:00:00,32,10.0
2026-04-17 18:00:00,36,26.67
2026-04-18 00:00:00,0,0.0
2026-04-18 00:00:00,15,0.0
2026-04-18 00:00:00,32,0.0
2026-04-18 00:00:00,36,0.0
2026-04-18 06:00:00,0,0.0
2026-04-18 06:00:00,15,0.0
2026-04-18 06:00:00,32,3.33
2026-04-18 06:00:00,36,10.0
2026-04-18 12:00:00,0,0.0
2026-04-18 12:00:00,15,0.0
2026-04-18 12:00:00,32,13.33
2026-04-18 12:00:00,36,16.67
2026-04-18 18:00:00,0,0.0
2026-04-18 18:00:00,15,0.0
2026-04-18 18:00:00,32,13.33
2026-04-18 18:00:00,36,16.67
2026-04-19 00:00:00,0,0.0
2026-04-19 00:00:00,15,0.0
2026-04-19 00:00:00,32,3.33
2026-04-19 00:00:00,36,3.33
2026-04-19 06:00:00,0,0.0
2026-04-19 06:00:00,15,0.0
2026-04-19 06:00:00,32,3.33
2026-04-19 06:00:00,36,3.33
2026-04-19 12:00:00,0,0.0
2026-04-19 12:00:00,15,0.0
2026-04-19 12:00:00,32,3.33
2026-04-19 12:00:00,36,10.0
2026-04-19 18:00:00,0,0.0
2026-04-19 18:00:00,15,0.0
2026-04-19 18:00:00,32,3.33
2026-04-19 18:00:00,36,10.0
2026-04-20 00:00:00,0,0.0
2026-04-20 00:00:00,15,0.0
2026-04-20 00:00:00,32,0.0
2026-04-20 00:00:00,36,0.0
2026-04-20 06:00:00,0,0.0
2026-04-20 06:00:00,15,0.0
2026-04-20 06:00:00,32,0.0
2026-04-20 06:00:00,36,0.0
2026-04-20 12:00:00,0,0.0
2026-04-20 12:00:00,15,0.0
2026-04-20 12:00:00,32,0.0
2026-04-20 12:00:00,36,0.0
2026-04-20 18:00:00,0,0.0
2026-04-20 18:00:00,15,0.0
2026-04-20 18:00:00,32,0.0
2026-04-20 18:00:00,36,0.0
2026-04-21 00:00:00,0,0.0
2026-04-21 00:00:00,15,0.0
2026-04-21 00:00:00,32,0.0
2026-04-21 00:00:00,36,0.0
2026-04-21 06:00:00,0,0.0
2026-04-21 06:00:00,15,0.0
2026-04-21 06:00:00,32,0.0
2026-04-21 06:00:00,36,3.33
2026-04-21 12:00:00,0,0.0
2026-04-21 12:00:00,15,0.0
2026-04-21 12:00:00,32,3.33
2026-04-21 12:00:00,36,10.0
2026-04-21 18:00:00,0,0.0
2026-04-21 18:00:00,15,0.0
2026-04-21 18:00:00,32,6.67
2026-04-21 18:00:00,36,10.0
2026-04-22 00:00:00,0,0.0
2026-04-22 00:00:00,15,0.0
2026-04-22 00:00:00,32,0.0
2026-04-22 00:00:00,36,3.33
2026-04-22 06:00:00,0,0.0
2026-04-22 06:00:00,15,0.0
2026-04-22 06:00:00,32,0.0
2026-04-22 06:00:00,36,3.33
2026-04-22 12:00:00,0,0.0
2026-04-22 12:00:00,15,0.0
2026-04-22 12:00:00,32,6.67
2026-04-22 12:00:00,36,13.33
2026-04-22 18:00:00,0,0.0
2026-04-22 18:00:00,15,0.0
2026-04-22 18:00:00,32,3.33
2026-04-22 18:00:00,36,13.33
2026-04-23 00:00:00,0,0.0
2026-04-23 00:00:00,15,0.0
2026-04-23 00:00:00,32,0.0
2026-04-23 00:00:00,36,0.0
2026-04-23 06:00:00,0,0.0
2026-04-23 06:00:00,15,0.0
2026-04-23 06:00:00,32,0.0
2026-04-23 06:00:00,36,3.33
2026-04-23 12:00:00,0,0.0
2026-04-23 12:00:00,15,0.0
2026-04-23 12:00:00,32,0.0
2026-04-23 12:00:00,36,13.33
2026-04-23 18:00:00,0,0.0
2026-04-23 18:00:00,15,0.0
2026-04-23 18:00:00,32,3.33
2026-04-23 18:00:00,36,13.33
2026-04-24 00:00:00,0,0.0
2026-04-24 00:00:00,15,0.0
2026-04-24 00:00:00,32,0.0
2026-04-24 00:00:00,36,3.33
2026-04-24 06:00:00,0,0.0
2026-04-24 06:00:00,15,0.0
2026-04-24 06:00:00,32,0.0
2026-04-24 06:00:00,36,6.67
2026-04-24 12:00:00,0,0.0
2026-04-24 12:00:00,15,0.0
2026-04-24 12:00:00,32,6.67
2026-04-24 12:00:00,36,10.0
2026-04-24 18:00:00,0,0.0
2026-04-24 18:00:00,15,0.0
2026-04-24 18:00:00,32,6.67
2026-04-24 18:00:00,36,6.67
2026-04-25 00:00:00,0,0.0
2026-04-25 00:00:00,15,0.0
2026-04-25 00:00:00,32,0.0
2026-04-25 00:00:00,36,0.0
2026-04-25 06:00:00,0,0.0
2026-04-25 06:00:00,15,0.0
2026-04-25 06:00:00,32,0.0
2026-04-25 06:00:00,36,6.67
2026-04-25 12:00:00,0,0.0
2026-04-25 12:00:00,15,0.0
2026-04-25 12:00:00,32,3.33
2026-04-25 12:00:00,36,6.67
2026-04-25 18:00:00,0,0.0
2026-04-25 18:00:00,15,0.0
2026-04-25 18:00:00,32,3.33
2026-04-25 18:00:00,36,6.67
2026-04-26 00:00:00,0,0.0
2026-04-26 00:00:00,15,0.0
2026-04-26 00:00:00,32,0.0
2026-04-26 00:00:00,36,3.33
2026-04-26 06:00:00,0,0.0
2026-04-26 06:00:00,15,0.0
2026-04-26 06:00:00,32,0.0
2026-04-26 06:00:00,36,3.33
2026-04-26 12:00:00,0,0.0
2026-04-26 12:00:00,15,0.0
2026-04-26 12:00:00,32,0.0
2026-04-26 12:00:00,36,6.67
2026-04-26 18:00:00,0,0.0
2026-04-26 18:00:00,15,0.0
2026-04-26 18:00:00,32,0.0
2026-04-26 18:00:00,36,6.67
2026-04-27 00:00:00,0,0.0
2026-04-27 00:00:00,15,0.0
2026-04-27 00:00:00,32,3.33
2026-04-27 00:00:00,36,3.33
