Time,Threshold,Probability
2025-12-16 00:00:00,0,0.0
2025-12-16 00:00:00,15,0.0
2025-12-16 00:00:00,32,0.0
2025-12-16 00:00:00,36,76.67
2025-12-16 06:00:00,0,0.0
2025-12-16 06:00:00,15,0.0
2025-12-16 06:00:00,32,0.0
2025-12-16 06:00:00,36,100.0
2025-12-16 12:00:00,0,0.0
2025-12-16 12:00:00,15,0.0
2025-12-16 12:00:00,32,20.0
2025-12-16 12:00:00,36,100.0
2025-12-16 18:00:00,0,0.0
2025-12-16 18:00:00,15,0.0
2025-12-16 18:00:00,32,20.0
2025-12-16 18:00:00,36,90.0
2025-12-17 00:00:00,0,0.0
2025-12-17 00:00:00,15,0.0
2025-12-17 00:00:00,32,0.0
2025-12-17 00:00:00,36,0.0
2025-12-17 06:00:00,0,0.0
2025-12-17 06:00:00,15,0.0
2025-12-17 06:00:00,32,23.33
2025-12-17 06:00:00,36,100.0
2025-12-17 12:00:00,0,0.0
2025-12-17 12:00:00,15,0.0
2025-12-17 12:00:00,32,86.67
2025-12-17 12:00:00,36,100.0
2025-12-17 18:00:00,0,0.0
2025-12-17 18:00:00,15,0.0
2025-12-17 18:00:00,32,66.67
2025-12-17 18:00:00,36,100.0
2025-12-18 00:00:00,0,0.0
2025-12-18 00:00:00,15,0.0
2025-12-18 00:00:00,32,0.0
2025-12-18 00:00:00,36,0.0
2025-12-18 06:00:00,0,0.0
2025-12-18 06:00:00,15,0.0
2025-12-18 06:00:00,32,6.67
2025-12-18 06:00:00,36,40.0
2025-12-18 12:00:00,0,0.0
2025-12-18 12:00:00,15,3.33
2025-12-18 12:00:00,32,60.0
2025-12-18 12:00:00,36,100.0
2025-12-18 18:00:00,0,0.0
2025-12-18 18:00:00,15,20.0
2025-12-18 18:00:00,32,100.0
2025-12-18 18:00:00,36,100.0
2025-12-19 00:00:00,0,0.0
2025-12-19 00:00:00,15,3.33
2025-12-19 00:00:00,32,100.0
2025-12-19 00:00:00,36,100.0
2025-12-19 06:00:00,0,0.0
